Frontside,Flipside,Category,Level
copious,"فراوان ، بسيار، خيلي ، وافر، متنابه ، زياد




plentiful, ample, abundant




He took copious notes during the lecture.~ note/reference/amount/quantity",,0
core,"مركز، ميانگاه ، وسط





center, hub, nucleus






Don't throw your apple core on the floor!",,0
correlate,"همبستگي داشتن ، لازم و ملزوم بودن ،بستگي داشتن ، هم وابستگي داشتن






match





Stress levels and heart disease are strongly correlated",,0
correspondence,"همخواني ، مطابقت ، تطابق ، مشابهت






harmony




The survey found no correspondence between crime and unemployment rates.",,0
correspondingly,"بهمان نسبت، همانطور، متقابلا






accordingly






Life in the city is more expensive, but salaries are correspondingly higher.",,0
corroborate,"تاييد كردن ، اثبات كردن






confirm",,0
costly,"گران ، پر هزينه ، پر خرج






expensive





The project was subject to several costly delays.",,0
counsel,"نصیحت کردن-توصیه کردن






advise






. counsel somebody to do something = She counselled them not to accept this settlement.2 to listen and give support to someone with problems = a new unit to counsel alcoholics",,0
counter of,"در مقابل، برخلاف






in the opposite of





The road blocks were a counter of terrorist attacks in that area.",,0
counter,"مقابله كردن ، تلا فى كردن ، جواب دادن ، معامله بمثل كردن با






oppose, speak or act in opposition to





After the government bombed their camp, the rebels countered with an attack on the capital.",,0
counterpart,"همتا، همدوش ، مكمل، قرينه ، نظير، نسخه ، كپي ، رونوشت






equivalent: similitude, peer




The prime minister is to meet his European counterparts to discuss the war against drugs.",,0
countervail,"-خنثی کردن-جبران كردن






compensate: oppose, neutralize;balance",,0
countless,"بي شمار، شمارش ناپذير، بسيار زياد






innumerable





There are countless arguments against this ridiculous proposal.",,0
couple,"جفت شدن يا كردن ، به هم پيوستن ، به هم وصل كردن ، همبند كردن ، همبسته كردن






associate, combine





[transitive] to join or fasten two things together: Each element is mathematically coupled to its neighbours.",,0
couple with,"با، همراه





together with





High inflation coupled with low output spells disaster for the government in the election.",,0
covered,"شامل شده، در برگرفته شده






included, coated





She covered him (up) with a blanket.",,0
crawl,"خزيدن، آهسته حرکت کردن






move, creep





The injured soldier crawled to safety.",,0
create,"آفريدن ، خلق كردن ، هست كردن






invent, manufacture




He created a wonderful meal from very few ingredients.",,0
creative,"خلاق ، سازنده ، خلاقه ، آفريدگر






inventive, innovative





They used rather creative methods to impress investors.",,0
crest,"قله ، فرازينگاه ، نوك ، سر، راس






peak, climax, culmination,summit





It took us over an hour to reach the crest of the hill.",,0
crisis,"بحران ، شور، بزنگاه ، سرگشتگي






disturbance, tension





It may yet be possible to find a peaceful solution to the crisis.",,0
critical,"بحراني ، بسيار مهم ، حياتي






crucial: essential





The president's support is critical.",,0
criticize,"انتقاد (ادبي يا هنرى و غيره ) كردن






debate, argue






It’s a lot easier to criticize (a plan) than to offer useful suggestions.",,0
crucial,"بسيار مهم ، حياتي






important, vital, essential, critical",,0
crucially,"بطورقطعي ،قطعا






decisively, definitely




It is crucially important that you put this letter in the mail today.",,0
crude,"بدون جزئیات یا بیان دقیق ولی عمدتا درست و مفید-بدن ظرافت یا با استانداردهای بالا-خام (نقت و غیره)






unsophisticated",,0
crush,"له کردن-خورد کردن - سرکوب کردن (اعتراضات و..) از بین بردن امید هیجان و اعتماد به نفس و غیره












ground, put down (to use severe methods to stop people from fighting you or opposing you)",,0
cue,"سخن رهنما، ايماء ، اشاره براى راهنمايى










hint: clue",,0
culminate in,"به انتها رسیدن، به اوج رسیدن ، به حد اعلا رسیدن










peak,if a process ~s in or with a particular event, it ends with that event",,0
culmination,"اوج ، اوگ ، فرازينگاه ، منتهي درجه ، سرانجام












high point, zenith, apex, crest",,0
culminate,"نقطه اوج یا تقطه انتهایی توسعه چیزی بودن










climax-Be the climax or point of highest development of.",,0
cumbersome,"روش یا سیستمی که کند باشه و کار باهاش سخت باشه-سنگین











awkward: clumsy: unwieldy; slow, difficult and heavy",,0
curb,"مهار کردن-کنترل کردن











control, suppress",,0
current,"كنوني ، فعلي ، جارى










present







Have you seen the current issue of (= the most recently published) Vogue magazine?",,0
cushion,"-حمایت کردن-(از شدت هر چيزى ) كاستن ، ملايم كردن












protect, shield",,0
dam,"سد-مانع










block",,0
dangle,"تاب خوردن ، آويزان كردن يا بودن












hang",,0
daring,"پرخطر-شجاع د ر مقابل خطرات-











bold (bold=not afraid of taking risks )",,0
debate,"مباحثه ، بگومگو، جر و بحث










argue, dispute",,0
decimate,"نابود کردن، تلفات سنگین وارد کردن











destroy-to destroy a large part of something







to destroy a large part of something = The population has been decimated by disease.Cheap imports decimated the British cycle industry.",,0
decimation,"خرابی، ویرانی











destruction;the act of killing a something in large numbers, or reducing something severely:",,0
decorating,"تزیینات











ornaments, adornments







The columns decorating the facade represent all the four orders.",,0
deficient,"ناکافی-ناکارامد










inadequate, defective







A diet deficient in vitamin D may cause the disease rickets.Our prisons are our most deficient social service.",,0
deflect,"منحرف كردن يا شدن ، ورتابه كردن يا شدن ، كژراه كردن يا شدن











redirect







The ball deflected off my shoulder, straight into the goal.",,0
degree,"حد، میزان، درجه









extent, measure






To what degree is unemployment society's fault?",,0
delicate,"ظریف-با مهارت ساخته شده











dainty, graceful






a plate with a delicate pattern of leaves",,0
delight,"لذت









please-pleasure",,0
deluxe,"لوکس، مجلل








lavish, luxurious, glorious






a deluxe hotel. The deluxe model costs a lot more.",,0
demand,"تقاضا، نیاز









need







the falling demand for coal",,0
demise,"مردن، انقراض










extinction, perish







When the long-delayed demise of the dinosaurs finally occurred, the crash was spectacular.",,0
demography,"اطلاعات آماری جامعه (سن، جنس،...)











(study of)population






He set out to learn the theory and data of demography.",,0
dense,"متراکم








1)crowded 2)thick







1) Britain has a particular problem because of dense population. 2) There was dust everywhere - the shop was filled with a dense fog of it.",,0
depend,"وابسته، بستگی داشتن











rely on, belong





The amount I earn depends on the kind of work I'm doing.",,0
dependable,"قابل اعتماد









reliable






They needed a dependable legal environment for the conduct of their business.",,0
depict,"به تصویر کشیدن، شرح دادن










1)describe 2)portray",,0
deplete,"خالی کردن










exhaust;use up; to reduce the amount of something that is present or available






As oil reserves are depleted, its price will continue to rise.Salmon populations have been severely depleted.",,0
depletion,"تخلیه









drain, evacuation







the depletion of the ozone layer",,0
deposit,"انباشتن











accumulate, lay down, put/set down",,0
derive from,"ناشی شدن از










arise from







(also be derived) to develop or come from something else , patterns of behaviour that derive from basic beliefs.",,0
desiccated,"خشک










dry, arid, parched







Scratched into this desiccated earth is an environmental warning.",,0
design,"طراحی کردن، خلق کردن









create, draw, plan







Airbags are currently designed to protect average-sized adult males.",,0
designate,"کسی یا چیزی را برای شغلی یا منظوری انتخاب کردن-مشخص کردن اشاره کردن به چیزی بااساتفاده از اسم یا علامتی مخصوص











1) assign :to choose someone or something for a particular job or purpose 2) identify: to represent or refer to something using a particular sign, name etc",,0
designation,"گزینش، انتخاب، انتصاب










identification,[uncountable] the act of choosing someone or something for a particular purpose, or of giving them a particular description",,0
despite,"علی رغم، به رغم، بر خلاف، با وجود









even though, in spite of







Despite all our efforts to save the school, the authorities decided to close it.",,0
detected,"شناسایی شده








identified, specified







he winced at the detected flicker of irony in her voice",,0
determine,"مشخص کردن، معلوم کردن











figure out, specify, define;establish",,0
detractor,"تخریب کننده









critic;someone who says bad things about someone or something, in order to make them seem less good than they really are







Even the president’s detractors admit that the decision was the right one.",,0
detrimental,"زیان آور، مضر








harmful







Smoking is detrimental to your health.the detrimental effect of pollution on the environment",,0
deviate,"کجروی کردن، منحرف شدن، گمراه شدن










digress, stray






The plane had to deviate from its normal flight path.",,0
deviation,"کج روی، انحراف








کج روی، انحراف








deviation from the normal procedure",,0
devise,"ابداع کردن، اختراع کردن، ساختن









create, invent, contrive






The exercise programme was devised by a leading health expert.",,0
devoid,"خالی از، تهی از، بدون










short of: lack of: scant of: without






devoid of = The food was completely devoid of taste.",,0
devoted,"وفادار، فداکار









dedicated







They remained devoted friends for many years",,0
devoted to,"وقف شده، اختصاصی









concentrated on, dedicated to







concentrated on, dedicated to",,0
devour,"بلعیدن







eat








The boys devoured their pancakes.",,0
dictate,"فرمان دادن، تحمیل کردن








give orders to,(prescribe= formal to state officially what should be done in a particular situation)








to tell someone exactly what they must do or how they must behave=Islamic custom dictates that women should be fully covered.",,0
differential,"متفاوت، ناهمسان









uneven, dissimilar, different",,0
diffuse,"پراکنده کردن، پخش کردن یا شدن









disperse/ spread out: travel







Their ideas diffused quickly across Europe.",,0
dilemma,"معضل، تنگنا، معما










problem, difficult/complex situation, no-win situation







Governments, which are purchasers, are faced with the dilemma of safeguarding the benefits while containing the price of drugs.",,0
diligent,"کوشا، سخت کوش، مستمر









careful, hard-working







a diligent student. The book required ten years of diligent research.",,0
dilute,"کم توان کردن، ضعیف کردن









reduce, weaken",,0
dim,"کم نور کردن، ضعیف کردن









1) decrease,becomes less bright 2) weak ,(feeling) grows weaker or less







1) if a light dims, or if you dim it, it becomes less bright =The lights in the theatre began to dim.",,0
dimension,"بعد، ابعاد، مقدار، اندازه









aspect: size







1) His coaching has added another dimension to my game. 2) We’ll need to know the exact dimensions of the room.",,0
disassemble,"از هم باز کردن، پیاده کردن ماشین آلات










break up: break apart (often a device), dismantle






You'll have to disassemble the bed frame in order to move it.",,0
disband,"منحل شدن یا کردن، از هم پاشیدن










dismiss",,0
discard,"دور انداختن










throw away: throw up; to get rid of something







Discard any old cleaning materials.",,0
discernible,"قابل تشخیص، قابل فهم








noticeable: discriminating







The influence of Rodin is discernible in the younger artist.",,0
discharge,"خالی کردن، مرخص کردن، بیرون ریختن









release, unload







Several of the recruits were discharged from the Army due to medical problems",,0
discipline,"تنبیه کردن-تربیت کردن









punish, penalize",,0
discrete,"مجزا، جدا









separate






The change happens in a series of discrete steps.The developing insect passes through several discrete stages.",,0
disentangle,"جدا کردن، رها کردن، صاف کردن، از پیچیدگی درآوردن










disband, abandon, unwrap",,0
disguise,"پنهان ساختن، لباس مبدل









hidden, camouflage",,0
disgust,"بیزار شدن، منزجر کردن، مشمئز کردن









distaste, hatred







His habit of sniffing loudly really disgusted her.",,0
disintegrate,"-خرد کردن/شدن فروپاشیدن، متلاشی شدن یا کردن









fall apart: break apart: tear apart- to break up, or make something break up",,0
dismantle,"برچیدن-جدا کردن قسمت های یک وسیله










demolish: destroy, disassemble",,0
dismiss,"رد کردن









reject, ignore- to refuse to consider someone’s idea, opinion etc, because you think it is not serious, true, or important",,0
disorder,"بی نظمی









anarchy







A number of stadiums were closed because of crowd disorder.",,0
dispensable,"غیرضروری









not necessary, inessential-not necessary or important and so easy to get rid of







Part-time workers are considered dispensable in times of recession.",,0
dispersal,"پراکنش، توزیع، انتشار









distribution: spread-the process of spreading things over a wide area or in different directions







the role of birds in the dispersal of seeds",,0
disperse,"متفرق کردن، پراکنده کردن-پراکنده شدن-متفرق شدن










scatter, diffuse(diffuse=to spread ideas or information among a lot of people, or to spread like this)






Police dispersed the crowd that had gathered.The clouds dispersed as quickly as they had gathered.",,0
displace,"جا به جا کردن-جایگزین کردن-کسی را از محل زندگیشبیرون کردن








move out of position, replace








Flooding caused by the dam may displace up to a million people.Coal has been displaced by natural gas as a major source of energy.",,0
disposition,"طبع، منش، خو









temperament, character",,0
dispute,"بحث، گفتمان، مشاجره، جدل









argument: contention







It is hoped that the dispute can be resolved peacefully.",,0
dissipate,"پراکندن، پخش کردن یا شدن-از بین رفتن یا بردن احساسی-تلف کردن چیزی با ارزش مثل پول و زمان و...










disperse, scatter, diffuse





1.‘the cloud of smoke dissipated’2 ‘he wanted to dissipate his anger’.3.His savings were soon dissipated.",,0
dissuade,"منصرف کردن، بازداشتن، نظر کسی را تغییر دادن









discourage, persuade against







dissuade somebody from (doing) something=a campaign to dissuade young people from smoking",,0
distant,"دور







far







Fog hangs on the distant and some of the near hills.",,0
distinct,"مجزا، متمایز









separate: clear and recognizable






two entirely distinct languages. There seems to be a distinct lack of aggression or passion.The outline of the ship became more distinct.",,0
distinction,"تفاوت، تمایز، برجستگی، برتری








difference: excellence: honor",,0
distinctive,"شاخص، خاص،، متمایز، برجسته







characteristic, distinguishing






The unusual-looking leaves give the plant its distinctive appearance.",,0
distinctly,"به طور واضح








clearly",,0
distinguish,"تشخیص دادن-تمیز دادن







notice from the difference.to recognize and understand the difference between two or more things or people






distinguish between=His attorney argued that Cope could not distinguish between right and wrong.",,0
distribute,"توزیع کردن، پخش کردن







spread-1 to share things among a group of people, especially in a planned way(give out)






distribute something among/to somebody=Clothes and blankets have been distributed among the refugees.&gt; distribution: dispersion",,0
disturb,"مزاحم شدن، پریشان کردن







upset",,0
diversify,"متنوع ساختن








vary, bring variety to- if a business, company, country etc ~s, it increases the range of goods or services it produces",,0
diverse,"متنوع، گوناگون







distinct: various-very different from each other





subjects as diverse as pop music and archaeology. The project studied a diverse group of 20,000 teenagers from nine high schools.",,0
diversity,"تنوع






variety






cultural/ethnic/linguistic etc diversity=The curriculum will take account of the ethnic diversity of the population.",,0
diversification,"تنوع و گوناگونی







emergence of many varieties





diversification (into something)=the company's diversification into health care products",,0
divert,"منحرف کردن، معطوف داشتن







deflect, redirect-Cause (someone or something) to change course or turn from one direction to another.Reallocate (money or resources) to a different purpose.




a scheme to divert water from the river to irrigate agricultural land. The company should divert more resources into research.",,0
divest,"محروم کردن، بی بهره کردن






deprive: get rid of, exclude






men are unlikely to be divested of power without a struggle’",,0
doctrine,"طریق، مکتب، طریقت، دکترین







principle,a set of beliefs that form an important part of a religion or system of ideas





• Even ethnically united communities are deeply divided on points of doctrine. • I consider that such doctrine would be dangerous and impermissible.",,0
domestic,"خانگی، داخلی







home,1) relating to or happening in one particular country and not involving any other countries opposute of foreign.2) relating to family relationships and life at home





1)domestic market/economy/demand etc=US foreign and domestic policy.2) a domestic animal lives on a farm or in someone’s home.3)domestic tasks/chores/responsibilities etc=an organization that supports women facing domestic violence",,0
dormant,"خوابیده، ساکت






hibernated: inactive





1)lie/remain dormant= The seeds remain dormant until the spring.2) It was at that point, according to court papers, that his alleged spy career went dormant.",,0
dramatically,"به طور چشم گیری






noticeably: greatly






Three years on, Jack’s life has dramatically changed- increase/rise/fall/drop dramatically=Three years on, Jack’s life has dramatically changed",,0
drastic,"شدید، موثر







extreme and sudden





drastic action/measures =NATO threatened drastic action if its terms were not met.The effect on the final rent review would be even more drastic.drastically: severely",,0
drive,"انگیزه، محرک






incentive





1)We are looking for someone with drive and ambition. 2) [ + to infinitive ] He has the drive to succeed.You'd have to admire their drive and their ambition to win.",,0
dual,"دوتایی






double





She has dual nationality, of Canada and Britain",,0
duplicate,"کپی کردن







copy: repeat





The video was duplicated illegally.",,0
durable,"با دوام،ماندنی






lasting, enduring






His poetry has proved durable.",,0
earn,"به دست آوردن







acquire, gain






1)He earns nearly £20,000 a year. 2)He did all sorts of jobs to earn a living.",,0
ease,"تسهیل کردن







facilitate






The agreement will ease the way for other countries to join the EU.",,0
eccentric,"غیر عادی،عجیب،دمدومی مزاج







strange: erratic; behaving in a way that is unusual and different from most people





1)His eccentric behaviour lost him his job. 2)Aunt Nessy was always a bit eccentric.",,0
edible,"خوراکی،خوردنی







eatable





These berries are edible, but those are poisonous.",,0
efface,"زدودن،از بین بردن







eliminate, remove-1 to destroy or remove something SYN erase





Cause (a memory or emotion) to disappear completely=Nothing can efface the last picture I have of them from my mind.",,0
elaborate,"دقیق







detailed- intricate-complex 1.1 having a lot of small parts or details put together in a complicated way SYN intricate 2. carefully planned and organized in great detail SYN complex






pure silks embroidered with elaborate patterns",,0
elapsed,"سپری شده







passed (of time)






The assignment must be completed within an overall elapsed time of one week.",,0
elevate,"بالا بردن







raise, boost





1) Language has elevated humans above the other animals. 2)elevate somebody/something to something :Their purpose is to elevate AIDS to the top of government priorities.",,0
eliminate,"از بین برن،برداشتن







remove, efface





1)eliminate a need/possibility/risk/problem etc :The credit card eliminates the need for cash or cheques. 2)eliminate something/somebody from something :Fatty foods should be eliminated from the diet.",,0
elite,"نخبه






excellent person





political/social/economic etc elite :the domination of power by a small political elite",,0
elusive,"زیرک، گریزان- کسی -حیوانی یا نتایجه که سخت بدست میاد-ایدهکه سخت فهمیده میشه







difficult to catch





an elusive person or animal is difficult to find or not often seen=She managed to get an interview with that elusive man",,0
emanate,"بیرون آمدن،پدیدار شدن







emerge





(of a feeling, quality, or sensation) issue or spread out from (a source)=warmth emanated from the fireplace.2.Originate from; be produced by.‘the proposals emanated from a committee’",,0
embark,"شروع کردن







start, begin





embark on/upon something = to start something, especially something new, difficult, or exciting He embarked on a new career as a teacher.",,0
embed,"جاسازی کردن،محصور کردن،وارد کردن







enclose: implant: insert






1)A piece of glass was embedded in her hand. :A piece of glass was embedded in her hand. 2) Feelings of guilt are deeply embedded in her personality.",,0
emergence,"پیدایش-ظهور







rise: appearance- when something begins to be known or noticed.2.2 when someone or something comes out of a difficult experience





1. the emergence of Japan as a world leader.2.the company’s emergence from bankruptcy",,0
emergency,"ضرورى ،اضطرارى ،غیر منتظره، بحران







crisis, urgent situation




Lifeguards are trained to deal with emergencies.",,0
emergent,"نوظهور و در حال توسعه







developingin, the early stages of existence or development





We have the flexibility to adjust our rates to meet emergent customer needs.",,0
employ,"به کار بردن ،استعمال کردن ،بکار گماشتن








use- to use a particular object, method, skill etc in order to achieve something




employ a method/technique/tactic etc=The report examines teaching methods employed in the classroom",,0
enable,"قادر ساختن - فعال کردن






allow






enable somebody/something to do something=There are plans to enlarge the runway to enable jumbo jets to land.",,0
enactment,"-پروسه تصویب لایحه یا قانون -تصویب قانون/لایحه ،بصورت قانون در امدن








establishment, approval




1. the making of a law, or a particular act of making a law:Supporters were pleased with the enactment of the bill.2.count noun A law that is passed.=‘enactments covering food safety",,0
encapsulate,"به صورت خلاصه بیان کردن







state briefly, summarize, capture





Her whole philosophy can be encapsulated in this one sentence.",,0
encounter,"روبروشدن ،مواجه شدن با







meet





They encountered serious problems when two members of the expedition were injured.",,0
encourage,"ترغیب کردن ،تشویق کردن ،دلگرم کردن







stimulate




I want to thank everyone who has encouraged and supported me.",,0
end,"منظور، مقصود






purpose





an aim or purpose, or the result you hope to achieve=She’ll do anything to achieve her own ends.",,0
endangered,"در معرض خطر







not abundant






The lizards are classed as an endangered species.",,0
endeavor,"-تاسیس یک شرکت،سرمایه گذاری یا قبول کردن یه مسدئولیت-کوشش ،جد و جهد،سعى







1) enterprise, 2) effort, strife





1.An attempt to achieve a goal.They made every endeavour to find the two boys.2.An enterprise or undertaking.=Politicians and lawyers will achieve success in their endeavours.’",,0
endorse,"صحه گذاردن، پشتیبانی کردن






support





to express formal support or approval for someone or something=The prime minister is unlikely to endorse this view.",,0
endow,"وقف کردن ،موهبت بخشیدن به








bestow",,0
endorsement,"تایید - امضا





confirmation, verification, support, validation, endorsement, validity",,0
enduring,"پرطاقت ،بادوام، پایدار






lasting: withstanding, durable






the enduring appeal of Shakespeare’s plays",,0
engulf,"قورت دادن-فرا گرفتن






swallow-Eat or swallow (something) whole.




Eat or swallow (something) whole.=‘the toad can engulf nestling birds’",,0
enhance,"بهبود دادن






improve: intensify





1)The publicity has enhanced his reputation.2)Good lighting will enhance any room",,0
enjoy,"دارا بودن







experience, benefit from,to have a particular ability or advantage




These workers enjoy a high level of job security.",,0
enlist,"کمک طلب کردن-به درت اوردن کمک کسی-پیوستن به ارتش






obtain-recruit-persuade





formal to ask for and get help or support from someone:The public are being enlisted to help",,0
enormous,"بزرگ






huge: large: great, immense, massive, colossal






The team made an enormous effort.an enormous amount of money",,0
enrich,"-غنی کردن - بهبود بخشید کیفیت چیزی به خصوص با اضافه کردن اجزایی به آن








enhance, to improve the ""quality"" of something, especially by adding things to it




Add fertilizer to enrich the soil.",,0
ensue,"از پس چیزی اومدن






result,follow, to happen after or as a result of something




ensue from=problems that ensue from food and medical shortages",,0
ensuing,"متعاقب، پیرو







subsequent,following




1)the ensuing battle/conflict/debate etc=In the ensuing fighting, two students were killed.2)the ensuing days/months/years etc (=the days, months etc after an event)=The situation deteriorated over the ensuing weeks.",,0
ensure,"مطمنئن شدن






guarantee





The hospital tries to ensure that people are seen quickly.",,0
entail,"شامل بودن، مستلزم بودن






involve




[ + -ing verb ] Repairing the roof will entail spending a lot of money",,0
enthusiastic,"مشتاق






eager, keen,avid





enthusiastic about (doing) something=All the staff are enthusiastic about the project.",,0
entirely,"کاملا






wholly,completely and in every possible way





1) Her reasons were not entirely clear. 2) Our situation is entirely different.",,0
environment,"زمینه-محیط







setting, surroundings





1)The company had failed to provide a safe environment for its workers. 2) a very adaptable creature that will eat different foods in different environments",,0
envision,"تصور کردن






imagine




I envisioned a future of educational excellence.",,0
ephemeral,"زودگذر






short-lived-, transitory, temporary-existing or popular for only a short time





Fashion is by nature ephemeral.",,0
embrace,"پذیرفتن امری با اشتیاق-در اغوش کشیدن یا کشیده شدن-شامل چیزی بودن







(formal) to accept something enthusiastically; (literary) to hug; (formal) to include something, often as one of a number of things





[intransitive, transitive] Most West European countries have embraced the concept of high-speed rail networks with enthusiasm.",,0
episode,"قسمت-رویداد-زمان معین






event, incident, occasion





She decided she would try to forget the episode by the lake.",,0
epitomize,"مجسم کردن-مثالی معروف از چیزی بودن







exemplify, to be a very typical example of something






This building epitomizes the spirit of the nineteenth century. His poems epitomize the feelings of the generation of soldiers that fought in World War I.",,0
equilibrium,"تعادل-برابری-ارامش






balance




1)The government is anxious not to upset the economic equilibrium. 2)She struggled to recover her equilibrium.",,0
era,"دوران-عصر







period





We live in an era of instant communication.",,0
eradicate,"ریشه کن کردن-نابود کردن






remove completely, annihilate, to completely get rid of something such as a disease or a social problem






eradicate something from something=We can eradicate this disease from the world.",,0
erect,"ساختن






to build something such as a building or wall (formal )






Police have erected barriers across the main roads into the town",,0
erratic,"متغیر-نامنظم






irregular: unpredictable, inconsistent






His breathing was becoming erratic.",,0
erroneous,"نادرست








wrong, incorrect






His economic predictions are based on some erroneous assumptions.",,0
escalate,"تشدید شدن






extend






Her fear was escalating into panic.",,0
essential,"مهم-حیاتی






crucial, required






essential for/to=A good diet is essential for everyone.",,0
essentially,"اساسا






fundamentally- basically






Used to emphasize the basic, fundamental, or intrinsic nature of a person or thing=Suicide rates have remained essentially unchanged.",,0
established,"موجود-واجد شرایط







qualified, have been in existence for a long time and therefore recognized and generally accepted.






By 1969 the civil rights movement was already an established fact.",,0
establishment,"تأسیس  ,تشکیل






formation, the act of starting an organization, relationship, or system






the establishment of NATO in 1949",,0
estimate,"تخمین-تخمین زدن






1) projection 2) to try to judge the value, size, speed, cost etc of something,






We just need an estimate of the number of people who will come.",,0
estimation,"ارزیابی، تخمین







evaluation, assessment, calculation





In your estimation, who’s going to win?",,0
euphoric,"سرخوش







extremely happy





Scientists are euphoric at the success of the test.",,0
evaluate,"ارزیابی کردن







judge, rate, assess





You should be able to evaluate your own work.",,0
eventual,"پایانی






later: final, ultimate, end






Sweden were the eventual winners of the tournament.",,0
eventually,"در نهایت







finally: later: ultimately: in the end





WL adverb after a long time, or after a lot of things have happened He eventually escaped and made his way back to England.",,0
ever-shifting,"تغییر دائمی






constant changing






Would you want a politician with his ever-shifting stand",,0
evidence,"مدرک






proof




1)At present we have no evidence of life on other planets.2) There is no evidence for these claims.",,0
evident,"آشکار-واضح








obvious: apparent, clear, explicit





1)It soon ""became evident that""she was seriously ill. 2) It was ""clearly evident that"" the company was in financial difficulties.3) It was ""evident to"" me that he was not telling the truth.",,0
evoke,"به وجوداوردن خاطره یا حسی در کسی







create in the mind: arouse: draw: promote: stimulate: produce






The photographs evoked strong memories of our holidays in France.",,0
evolve,"توسعه یافتن/دادن-تغییر پیدا کردن/دادن







develop




1) evolve from Fish evolved from prehistoric sea creatures.2) The school has evolved its own style of teaching.3) evolve out of = The idea evolved out of work done by British scientists.",,0
exaggerate,"غلو کردن






overstate, overemphasize





1) I couldn’t sleep for three days – I’m not exaggerating.2) it’s easy/difficult/impossible to exaggerate something = It’s difficult to exaggerate the importance of sleep.",,0
excavate,"حفاری کردن






dig out





Work is under way to excavate the ancient city.",,0
work is under way,کار در حال انجام است,,0
under way,در حال انجام,,0
excavation,"حفاری





unearthing, dig (n)






Excavation on the site is likely to continue for several years.",,0
exceed,"exceed





beyond above: surpass, 1) to be more than a particular number or amount, 2) to go beyond what rules or laws say you are allowed to do





1)His performance exceeded our expectations. 2) The riot police had exceeded their authority.",,0
exceedingly,"بسیار-به حد زیاد






(formal)extremely,to a very great degree:






He was clever, handsome, and exceedingly rich.hank you. You’ve been exceedingly kind. Eva was exceedingly grateful for his expertise.I've become exceedingly worried about the future of our nation.The salon was small and exceedingly hot.",,0
exceptionally,"به طور غیر معمول







unusually,outstandingly






1)She defended her position exceptionally well. 2) an exceptionally talented player",,0
exclusively,"منحصرا-به تنهایی







only: solely





This offer is available exclusively to people who call now.",,0
excrete,"دفع کردن-بیرون انداختن







expel,release (formal) to get rid of waste material from your body through your bowels, your skin





Most toxins are naturally excreted from the body.",,0
execute,"انجام دادن







perform-implement





beautifully/skilfully/poorly etc executed = The skaters’ routine was perfectly executedThe job involves drawing up and executing a plan of nursing care.",,0
exercise,"استفاده کردن از






use, employ, practice, formal to use a power, right, or quality that you have






1) There are plans to encourage people to exercise their right to vote. 2) People who can exercise some control over their surroundings feel less anxious.",,0
exert,"استفاده کردن-اعمال دادن






utilize, to use your power, influence etc in order to make something happen






1)Environmental groups are exerting pressure on the government to tighten pollution laws.2)They exerted considerable influence within the school.",,0
exhausted,"بسیار خسته-تحلیل رفته،استفاده شده






tired: used up





1. extremely tired, SYN worn out=You look absolutely exhausted.2. having or containing no more of a particular thing or substance=an exhausted coal mine",,0
exhibit,"نشان دادن، نمایش دادن ، ثابت کردن







demonstrate: display, illustrate





Her paintings have been exhibited all over the world.",,0
expand,"گسترش دادن، توسعه پیدا کردن






increase: stretch






Sydney’s population expanded rapidly in the 1960s",,0
expanse,"گستردگی-وسعت






area-A wide continuous area of something.






an expanse of blue sky.the green expanse of the forest’&gt; expansive: large",,0
expediency,"اقدامی سریع و موثر، عللی رغم اینکه ممکنه از نظر اخلاقی غلط باشه






advantage: convenience





action that is quickest or most effective in a particular situation, even if it is morally wrong.=the ethics of political expediency",,0
expend,"صرف کردن، استفاده کردن، خرج کردن، مصرف کردن







use, spend-to use or spend a lot of energy etc in order to do something




expend energy/effort/time/resources etc=Manufacturers have expended a lot of time and effort trying to improve computer security.expend something in/on (doing) something=A great deal of time and money has been expended on creating a pleasant office atmosphere.",,0
explicit,"صریح و روشن: آشکار






obvious, clear





The contrast could not have been made more explicit",,0
exploit,"بهره برداری، سود بردن،






make use of: take advantage of: utilize





1.to use something fully and effectively=The new TV companies are fully exploiting the potential of satellite transmission.2. to treat someone unfairly by asking them to do things for you, but giving them very little in return – used to show disapproval=Homeworkers can easily be exploited by employers.3. to develop and use minerals, forests, oil etc for business or industry=the urgent need to exploit the resources of the Irish Sea",,0
explore,"-کاوش کردن- بررسی کردن







investigate, probe





1. [transitive] to discuss or think about something carefully SYN look at=I’m going to explore the possibility of a part-time job.Management need to explore ways of improving office security.2 [intransitive, transitive] to travel around an area in order to find out about it=Venice is a wonderful city to explore.",,0
expose,"نشان دادن چیزی که پوشیده یا مخفی شده-در معرض (خطر يا حمله يا سرما و يا هرچيز ناخوشايند و غیره) قرار دادن ، بي پناه كردن






subject to, susceptible to, make vulnerable to





1)He lifted his T-shirt to expose a jagged scar across his chest.2) expose something to something=Potatoes turn green when exposed to light.",,0
express,"بیان کردن ، ارتباط برقرار کردن







communicate, convey, show





Parents have expressed their concerns about their children’s safety.",,0
extant,"،باقی مانده موجود ، دارای هستی ،






remaining: existing: not extinct




still existing in spite of being very old=Few of the manuscripts are still extant.",,0
extend,"گسترش دادن ، کشش دادن، منبسط کردن






stretch, expand, develop





Management have agreed to extend the deadline.",,0
extol,"تمجید ، ستایش






praise





a speech extolling the merits of free enterprise.Let us come before him with thanksgiving and extol him with music and song.",,0
